"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2019년 12월 23일","333.10","337.76","337.95","331.02","5.77M","-1.13%"
"2019년 12월 20일","336.90","335.00","338.00","330.60","9.92M","1.41%"
"2019년 12월 19일","332.22","324.50","332.83","324.18","9.83M","3.56%"
"2019년 12월 18일","320.80","316.26","325.36","315.60","11.21M","1.69%"
"2019년 12월 17일","315.48","307.36","316.80","306.60","10.44M","3.70%"
"2019년 12월 16일","304.21","300.85","305.71","298.63","4.66M","1.91%"
"2019년 12월 13일","298.50","298.50","301.80","297.25","3.88M","0.02%"
"2019년 12월 12일","298.44","295.67","299.17","295.06","4.77M","-0.16%"
"2019년 12월 11일","298.93","294.49","299.43","294.20","5.61M","1.98%"
"2019년 12월 10일","293.12","296.12","298.94","292.02","10.48M","-3.10%"
"2019년 12월 09일","302.50","307.35","311.49","302.44","5.77M","-1.58%"
"2019년 12월 06일","307.35","304.70","307.85","302.60","4.46M","1.48%"
"2019년 12월 05일","302.86","305.27","306.48","298.81","4.62M","-0.48%"
"2019년 12월 04일","304.32","308.43","308.43","303.27","3.51M","-0.60%"
"2019년 12월 03일","306.16","302.22","307.36","301.88","5.27M","-1.24%"
"2019년 12월 02일","309.99","314.39","314.39","303.75","6.22M","-1.48%"
"2019년 11월 29일","314.66","315.78","316.62","313.34","2.41M","-0.40%"
"2019년 11월 27일","315.93","313.93","316.82","312.75","4.10M","1.10%"
"2019년 11월 26일","312.49","315.00","316.50","311.69","5.33M","-0.97%"
"2019년 11월 25일","315.55","308.83","315.73","305.25","7.88M","1.63%"
"2019년 11월 22일","310.48","309.10","311.40","304.41","5.97M","-0.39%"
"2019년 11월 21일","311.69","306.00","312.69","304.26","7.49M","2.14%"
"2019년 11월 20일","305.16","301.01","308.25","301.00","5.12M","0.85%"
"2019년 11월 19일","302.60","304.01","305.67","298.52","5.92M","0.01%"
